username,keyword,category,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after,prs_merged_before,prs_merged_after,total_prs_before,total_prs_after,acceptance_rate_before,acceptance_rate_after,ai_commit_count_before,ai_commit_count_after,ai_commit_ratio_before,ai_commit_ratio_after,ai_first_seen,mentions_copilot,mentions_copilot_before,mentions_copilot_after,mentions_chatgpt,mentions_chatgpt_before,mentions_chatgpt_after,mentions_claude,mentions_claude_before,mentions_claude_after,mentions_gemini,mentions_gemini_before,mentions_gemini_after,mentions_bing,mentions_bing_before,mentions_bing_after,mentions_grok,mentions_grok_before,mentions_grok_after,mentions_other_tools,mentions_other_tools_before,mentions_other_tools_after,mentions_general_ai,mentions_general_ai_before,mentions_general_ai_after
telerik-tfshotmailz,disabled,disabled,194,285,261849,53818,234440,27409,33019,20799,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
roylepython,disabled,disabled,3002,2710,8544,25182,4502,4042,22813,2369,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
debbbarr2020-netizen,disabled,disabled,8,28,15310,1454,13489,1821,1437,17,0,1,0,1,0.0,1.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thetaco,disabled,disabled,83,144,4856,7009,4014,842,6712,297,0,0,0,1,0.0,0.0,14,1,0.1686746987951807,0.0069444444444444,2024-06-27 22:38:09+00:00,0,0,0,3,2,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
Just-Me-22,disabled,disabled,5386,5229,163872,291232,123230,40642,171796,119436,0,0,0,0,0.0,0.0,2,1,0.0003713330857779,0.0001912411550965,2024-12-12 12:25:03+00:00,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tbeck9301-dot,disabled,disabled,24,25,63787,22754,21798,41989,10006,12748,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
danyb48,disabled,disabled,4971,3070,180669,1000881,164833,15836,587388,413493,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CryptKingz,disabled,disabled,257,299,18060,13277,13370,4690,11130,2147,0,0,0,0,0.0,0.0,0,2,0.0,0.0066889632107023,2025-09-18 05:33:51+00:00,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DxBONESxBACK,disabled,disabled,2942,462,1778,4875,1262,516,2604,2271,0,0,0,1,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myshelle1,disabled,disabled,656,272,4082,5673,3129,953,1566,4107,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DrSolidDevil,disabled,disabled,121,497,1355,14652,887,468,10994,3658,0,33,0,39,0.0,0.8461538461538461,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cottonpaper,disabled,disabled,31,23,2231,4678,1701,530,3683,995,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHARKING55,disabled,disabled,99,43,69542,2097552,65242,4300,2096941,611,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ClaudiusMinimus,disabled,disabled,64,143,7663,101353,2830,4833,56030,45323,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jasmeralia,disabled,disabled,147,50,9607,10491,6810,2797,7713,2778,1,0,1,0,1.0,0.0,0,1,0.0,0.02,2025-12-09 17:27:28+00:00,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AliciaAMT,disabled,disabled,23,164,27430,356071,8672,18758,348981,7090,1,15,1,15,1.0,1.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SpartanWynter,disabled,disabled,124,10,2493,784,1785,708,771,13,2,0,2,0,1.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backEndFriend51,disabled,disabled,186,6,7437,165,5082,2355,85,80,1,0,1,0,1.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjPoke,disabled,disabled,146,27,252155,26490,150373,101782,22902,3588,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chitochi,disabled,disabled,164574,188385,132752,2847,78167,54585,2108,739,4,10,4,10,1.0,1.0,1,1,6.07629394679597e-06,5.308278259946386e-06,2024-12-17 21:43:54+00:00,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deli73,disabled,disabled,11,18,1751,4901,1516,235,4102,799,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sdorsher,disabled,disabled,19,51,235,553,220,15,419,134,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacobboogiebear,disabled,disabled,2576,1141,26320,24704,20533,5787,20002,4702,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kims1998,disabled,disabled,48,255,262,130823,195,67,98191,32632,0,17,0,18,0.0,0.9444444444444444,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArtHirche,disabled,disabled,26,54,25487,1057328,25114,373,1056827,501,0,10,0,10,0.0,1.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abledaccess,disabled,disabled,22,11,5016,2399,1571,3445,289,2110,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
castorix,disabled,disabled,31,66,126177,253887,107672,18505,238345,15542,0,0,0,0,0.0,0.0,0,0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
